Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
20.5m	165.1m					
20.5m	164.9m					
20.5m	168.2m					
20.5m	169.1m					
20.5m	168.6m					
20.5m	168.4m					
20.5m	167.5m					
20.5m	167.8m					
20.5m	169.8m					
20.5m	168.8m					
20.5m	162.9m					
20.5m	162.7m					
20.5m	161.6m					
20.5m	163.2m					
20.5m	165.1m					
20.5m	164.4m					
20.4m	163.7m					
20.5m	164.8m					
20.5m	165.8m					
20.5m	167.5m					
20.5m	169.1m					
20.5m	166.4m					
20.5m	165.4m					
20.5m	168.8m					
20.5m	169.3m					
20.5m	172.5m					
20.5m	172.5m					
20.5m	170.9m					
20.5m	171.3m					
20.5m	172.4m					
20.6m	172.3m					
20.5m	172m					
20.5m	168.7m					
20.6m	166.3m					
20.5m	167.6m					
20.6m	168.5m					
20.5m	170.5m					
20.5m	171.7m					
20.5m	169.7m					
20.6m	169.5m					
20.5m	170.7m					
20.6m	170.1m					
20.6m	168m					
20.5m	166.9m					
20.6m	164.2m					
20.5m	165.1m					
20.6m	167m					
20.6m	167.9m					
20.5m	169.4m					
20.6m	169m					
20.5m	168.7m					
20.5m	170.2m					
20.6m	170.7m					
20.6m	168.2m					
20.5m	167.1m					
20.6m	166.3m					
20.6m	166m					
20.6m	168.2m					
20.6m	168.2m					
20.6m	167.3m					
20.6m	167.1m					
20.6m	164.5m					
20.6m	164.6m					
20.6m	165.2m					
20.6m	163.9m					
20.6m	160.3m					
20.6m	161.5m					
20.6m	163.4m					
20.6m	166.1m					
20.6m	169.8m					
20.6m	169.9m					
20.6m	170m					
20.6m	171.8m					
20.6m	172.2m					
20.7m	173.4m					
20.6m	173.2m					
20.6m	168.3m					
20.6m	168.2m					
20.6m	168.9m					
20.6m	169.4m					
20.6m	172.2m					
20.6m	171m					
20.6m	169.6m					
20.6m	169.5m					
20.6m	169.4m					
20.6m	169.5m					
20.7m	169.6m					
20.7m	164.8m					
20.6m	163.6m					
20.6m	166m					
20.6m	166.4m					
20.7m	169.5m					
20.7m	170m					
20.6m	169.2m					
20.6m	169.5m					
20.7m	171.1m					
20.7m	170.7m					
20.7m	169.1m					
20.7m	168.4m					
20.7m	166.1m					
20.7m	168m					
20.7m	169.4m					
20.7m	169.9m					
20.7m	170.2m					
20.7m	168.2m					
20.6m	166.8m					
20.6m	166.6m					
20.7m	166.6m					
20.7m	160.5m					
20.7m	160.1m					
20.7m	158.7m					
20.7m	158.7m					
20.7m	163.9m					
20.7m	164m					
20.7m	166.9m					
20.7m	167m					
20.7m	168.1m					
20.7m	169.6m					
20.7m	172.5m					
20.7m	170.7m					
20.7m	167.7m					
20.7m	168.2m					
20.7m	169.1m					
20.7m	172.1m					
20.7m	173.3m					
20.8m	173.2m					
20.7m	173.1m					
20.7m	173.1m					
20.7m	173.3m					
20.7m	174.3m					
20.8m	172.5m					
20.7m	167.7m					
20.7m	167.5m					
20.7m	167.3m					
20.7m	168.6m					
20.7m	170.2m					
20.7m	169.5m					
20.7m	168.7m					
20.7m	168.5m					
20.8m	168.4m					
20.7m	169m					
20.8m	169.1m					
20.8m	164.5m					
20.8m	163.7m					
20.7m	166.4m					
20.7m	167.6m					
20.7m	170.5m					
20.8m	170.1m					
20.8m	168.7m					
20.7m	169.2m					
20.8m	170.6m					
20.7m	169.8m					
20.8m	169.2m					
20.8m	165.3m					
20.8m	162.7m					
20.8m	165m					
20.8m	166.4m					
20.8m	167.8m					
20.8m	168.5m					
20.8m	166.4m					
20.8m	166.3m					
