Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
4.9m	175.5m					
4.9m	174.8m					
4.9m	176.7m					
4.9m	177.5m					
4.9m	179.4m					
4.9m	177.8m					
4.8m	176.1m					
4.9m	175.1m					
4.9m	174.2m					
4.9m	170.8m					
4.9m	168.4m					
4.9m	170.8m					
4.9m	171.3m					
4.9m	175m					
4.9m	176.1m					
4.9m	177.8m					
4.9m	179.2m					
4.9m	180.4m					
4.9m	178.7m					
4.9m	177.6m					
4.8m	179.4m					
4.9m	180.3m					
4.9m	182.2m					
4.9m	182.5m					
4.8m	183.1m					
4.9m	181.2m					
4.9m	180m					
4.9m	178.8m					
4.9m	178.8m					
4.8m	173.8m					
4.9m	173.8m					
4.9m	173.9m					
4.8m	174.9m					
4.9m	177m					
4.9m	176m					
4.9m	175.6m					
4.9m	176.5m					
4.9m	176.7m					
4.9m	173m					
4.9m	173.1m					
4.9m	175.2m					
4.8m	176.7m					
4.9m	179m					
4.9m	178.9m					
4.8m	178.8m					
4.9m	179.9m					
4.9m	180.2m					
4.9m	176m					
4.8m	176m					
4.8m	175.6m					
4.8m	175.6m					
4.9m	175.6m					
4.9m	175.5m					
4.8m	175.4m					
4.9m	174.4m					
4.9m	174.1m					
4.8m	172.8m					
4.8m	172.2m					
4.8m	171.1m					
4.9m	171.4m					
4.9m	173.9m					
4.9m	175.8m					
4.9m	178m					
4.9m	178.3m					
4.9m	178.7m					
4.8m	180.7m					
4.9m	180.5m					
4.9m	177.4m					
4.8m	177.9m					
4.9m	180.4m					
4.8m	181.8m					
4.8m	183.1m					
4.9m	181.3m					
4.8m	180.8m					
4.8m	179.8m					
4.9m	178.6m					
4.8m	174.6m					
4.9m	174.3m					
4.9m	174.1m					
4.8m	175.2m					
4.9m	176m					
4.8m	178.4m					
4.8m	178.6m					
4.9m	177.4m					
4.9m	177.1m					
4.8m	176.7m					
4.8m	176.3m					
4.8m	175.5m					
4.8m	177m					
4.8m	177.9m					
4.8m	180.5m					
4.8m	180.6m					
4.9m	179.2m					
4.9m	179m					
4.8m	178.6m					
4.8m	174.9m					
4.9m	172.9m					
4.9m	174.5m					
4.9m	175.2m					
4.8m	177.8m					
4.8m	177.8m					
4.8m	177.4m					
4.8m	177.9m					
4.8m	178.8m					
4.9m	176.7m					
4.8m	174.3m					
4.8m	175.5m					
4.8m	176.1m					
4.8m	178.6m					
4.8m	178.6m					
4.8m	179.6m					
4.8m	179.3m					
4.8m	179m					
4.8m	177.8m					
4.8m	176.8m					
4.8m	175m					
4.8m	174.6m					
4.8m	175.6m					
4.8m	176m					
4.8m	178.6m					
4.9m	177.7m					
4.9m	176.6m					
4.8m	176.6m					
4.8m	176.6m					
4.8m	173.2m					
4.8m	172.6m					
4.8m	173.4m					
4.8m	174m					
4.8m	176.2m					
4.8m	176.2m					
4.8m	176m					
4.8m	177.4m					
4.8m	178.6m					
4.8m	176.2m					
4.8m	174.3m					
4.8m	177.4m					
4.8m	178.3m					
4.8m	180.2m					
4.8m	180.2m					
4.8m	180.4m					
4.8m	180.5m					
4.9m	180.6m					
4.8m	177.2m					
4.8m	177m					
4.8m	175.5m					
4.8m	175.8m					
4.8m	176.6m					
4.8m	177.4m					
4.8m	179.2m					
4.8m	178.3m					
4.8m	178m					
4.8m	178.8m					
4.8m	178.6m					
4.8m	174.8m					
4.8m	175.7m					
4.8m	177.2m					
4.8m	178.2m					
4.8m	179.8m					
4.8m	178.2m					
4.8m	177.7m					
4.7m	178.1m					
4.8m	177.6m					
4.8m	172.5m					
4.8m	172.6m					
4.8m	174m					
4.8m	175.1m					
4.8m	176.6m					
4.8m	178.1m					
4.8m	178.5m					
