Current (mA) - Plot 0	Pressure (psi) - Plot 0	Current (mA) - Plot 1	Pressure (psi) - Plot 1	Current (mA) - Plot 2	Pressure (psi) - Plot 2	
-12.1m	-3k					
-12.2m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12m	-3k					
-12.1m	-3k					
-12.1m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12.1m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12.1m	-3k					
-12m	-3k					
-12.1m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-11.9m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-11.9m	-3k					
-12m	-3k					
-11.9m	-3k					
-12m	-3k					
-11.9m	-3k					
-12m	-3k					
-12m	-3k					
-12m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-12m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-12m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.9m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.7m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.7m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.7m	-3k					
-11.8m	-3k					
-11.8m	-3k					
-11.7m	-3k					
-11.8m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.8m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.7m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.7m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.4m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.4m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.6m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.4m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.5m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.5m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.4m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.2m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.2m	-3k					
-11.3m	-3k					
-11.3m	-3k					
-11.2m	-3k					
-11.3m	-3k					
-11.2m	-3k					
-11.3m	-3k					
-11.2m	-3k					
-11.3m	-3k					
-11.2m	-3k					
-11.3m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.2m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11.1m	-3k					
-11m	-3k					
-11.1m	-3k					
-11m	-3k					
-11.1m	-3k					
-11m	-3k					
-11.1m	-3k					
-11m	-3k					
-11m	-3k					
-11.1m	-3k					
-11m	-3k					
-11m	-3k					
-10.9m	-3k					
-11.1m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-10.9m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-11m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-11m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.8m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.8m	-3k					
-10.9m	-3k					
-10.8m	-3k					
-10.9m	-3k					
-10.8m	-3k					
-10.9m	-3k					
-10.9m	-3k					
-10.8m	-3k					
-10.9m	-3k					
-10.8m	-3k					
-10.9m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.8m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.7m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.5m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.6m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.6m	-3k					
-10.5m	-3k					
-10.6m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.6m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.5m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.5m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.3m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.3m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.4m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.4m	-3k					
-10.3m	-3k					
-10.4m	-3k					
-10.3m	-3k					
-10.4m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.4m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.3m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.2m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10.1m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10.1m	-3k					
-9.9m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10.1m	-3k					
-9.9m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-10m	-3k					
-9.9m	-3k					
-10m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-10m	-3k					
-10m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-10m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.8m	-3k					
-10m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.8m	-3k					
-9.9m	-3k					
-9.8m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.9m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.9m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.8m	-3k					
-9.7m	-3k					
-9.8m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.8m	-3k					
-9.7m	-3k					
-9.8m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.8m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.8m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.6m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.7m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.7m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.7m	-3k					
-9.6m	-3k					
-9.7m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.7m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.5m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.5m	-3k					
-9.5m	-3k					
-9.5m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.6m	-3k					
-9.5m	-3k					
-9.6m	-3k					
-9.5m	-3k					
-9.6m	-3k					
-9.6m	-3k					
