Pressure (psi) - Plot 0	Flow (GPM) - Plot 0	Pressure (psi) - Plot 1	Flow (GPM) - Plot 1	Pressure (psi) - Plot 2	Flow (GPM) - Plot 2	
259.8	1.2					
261.2	1.2					
260.1	1.2					
260.1	1.2					
261.4	1.2					
261	1.2					
260.8	1.2					
262.5	1.2					
261.8	1.2					
261	1.2					
262.1	1.2					
262.2	1.2					
261.6	1.2					
263.1	1.2					
263.1	1.2					
261.9	1.2					
262.5	1.2					
262.8	1.2					
262.1	1.2					
262.9	1.2					
263.8	1.2					
262.5	1.2					
262.6	1.2					
263.3	1.2					
262.7	1.2					
262.7	1.2					
263.7	1.2					
262.8	1.2					
262	1.2					
262.6	1.2					
262.4	1.2					
261.9	1.2					
263	1.2					
263.1	1.2					
262.2	1.2					
263.2	1.2					
263.3	1.2					
263	1.2					
264	1.2					
264.3	1.2					
263.3	1.2					
264	1.2					
263.9	1.2					
263.5	1.2					
264.3	1.2					
264.8	1.2					
264.1	1.2					
264.3	1.2					
264.1	1.2					
263.7	1.2					
264.2	1.2					
264.7	1.2					
264.6	1.2					
264.4	1.2					
264.5	1.2					
263.8	1.2					
264.2	1.2					
264.6	1.2					
264.5	1.2					
264.5	1.2					
264.6	1.2					
263.8	1.2					
263.8	1.2					
264.4	1.2					
264.2	1.2					
264.3	1.2					
264.4	1.2					
264.1	1.2					
263.5	1.2					
264.5	1.2					
264.1	1.2					
264.1	1.2					
264.8	1.2					
264.2	1.2					
263.6	1.2					
264.4	1.2					
264.1	1.2					
263.8	1.2					
265	1.2					
264.6	1.2					
264.1	1.2					
265.3	1.2					
265.9	1.2					
265.3	1.2					
266.9	1.2					
266.8	1.2					
265.8	1.2					
266.7	1.2					
267.5	1.2					
266.7	1.3					
267.9	1.3					
268.5	1.3					
267.5	1.3					
268.3	1.3					
269.1	1.3					
268.3	1.3					
268.8	1.3					
269.8	1.3					
268.4	1.3					
268.4	1.3					
269.3	1.3					
268.6	1.3					
268.5	1.3					
270.1	1.3					
269.6	1.3					
269	1.3					
270	1.3					
269.6	1.3					
269.4	1.3					
270.9	1.3					
270.7	1.3					
270.1	1.3					
271	1.3					
270.9	1.3					
270.5	1.3					
271.6	1.3					
271.9	1.3					
271.4	1.3					
272	1.3					
271.8	1.3					
271.7	1.3					
272.9	1.3					
273.2	1.3					
273.1	1.3					
273.9	1.3					
274	1.3					
273.8	1.3					
274.9	1.3					
275	1.3					
274.9	1.3					
275.7	1.3					
275.4	1.3					
275	1.3					
276.5	1.3					
276.7	1.3					
276.5	1.3					
277.6	1.3					
277	1.3					
276.3	1.3					
277.2	1.3					
277.1	1.3					
276.4	1.3					
277.7	1.3					
277	1.3					
275.9	1.3					
276.7	1.3					
276.5	1.3					
275.4	1.3					
276.4	1.3					
276.2	1.3					
274.9	1.3					
275.9	1.3					
275.6	1.3					
274.7	1.3					
275.7	1.3					
276	1.3					
275.1	1.3					
275.8	1.3					
275.4	1.3					
275.1	1.3					
275.9	1.3					
276.4	1.3					
275.9	1.3					
276.6	1.3					
276.8	1.3					
276.4	1.3					
277.2	1.3					
278	1.3					
277.5	1.3					
278.1	1.3					
278.2	1.3					
278.1	1.3					
279	1.3					
279.1	1.3					
279	1.3					
279.5	1.3					
279	1.3					
278.4	1.3					
279.3	1.3					
279	1.3					
278.8	1.3					
279.8	1.3					
279.2	1.3					
278.8	1.3					
279.7	1.3					
279.5	1.3					
278.7	1.3					
280.3	1.3					
279.5	1.3					
278.6	1.3					
279.7	1.3					
279.7	1.3					
278.8	1.3					
280.6	1.3					
280.6	1.3					
279.5	1.3					
280.7	1.3					
